Rua,Bairro,Cidade,Metragem,Quartos,Banheiros,Vagas,Valor,Valor_anuncio_float,Valor_anuncio_milhoes,Preço por m²
,Vila Arriete,São Paulo,200,4,3,2,R$ 775.000,775000.0,0.775,3875.0
Rua Inglaterra,Jardim Europa,São Paulo,200,3,3,2,R$ 13.000,13000.0,0.013,65.0
Rua Peribebuí,Alto da Lapa,São Paulo,440,4,6,7,R$ 2.200.000,2200000.0,2.2,5000.0
"Avenida João XXIII, 925 ",Vila Formosa,São Paulo,225,2,2,2,R$ 780.000,780000.0,0.78,3466.6666666666665
Rua Taiaçupeba,Quinta da Paineira,São Paulo,350,3,5,6,R$ 980.000,980000.0,0.98,2800.0
"Rua Coronel Virgílio dos Santos, 271 ",Vila Jaguara,São Paulo,220,3,3,2,R$ 750.000,750000.0,0.75,3409.090909090909
"Rua da Paz, 89 ",Alto da Boa Vista,São Paulo,386,4,4,5,R$ 1.680.000,1680000.0,1.68,4352.331606217616
"Rua Major Alfredo Romão, 92 ",Vila Clarice,São Paulo,99,3,2,2,R$ 650.000,650000.0,0.65,6565.656565656565
Rua Bolívia,Jardim América,São Paulo,663,4,7,6,R$ 14.500.000,14500000.0,14.5,21870.286576168928
Rua General Fonseca Teles,Jardim Paulista,São Paulo,420,4,6,3,R$ 8.700.000,8700000.0,8.7,20714.285714285714
"Rua Pataíba, 89 ",Tucuruvi,São Paulo,211,3,3,3,R$ 1.237.000,1237000.0,1.237,5862.559241706161
"Rua Doutor Milton de Souza Meirelles, 364 ",Parque Continental,São Paulo,180,3,4,4,R$ 950.000,950000.0,0.95,5277.777777777777
"Avenida Amador Bueno da Veiga, 3272 ",Penha de França,São Paulo,150,4,1,5,R$ 510.000,510000.0,0.51,3400.0
Rua Maria Tereza Farabulini Rodrigues,Parque Continental,São Paulo,200,3,5,3,R$ 1.500.000,1500000.0,1.5,7500.0
Rua Doutor Franco da Rocha,Perdizes,São Paulo,452,4,6,2,R$ 4.240.000,4240000.0,4.24,9380.530973451327
Rua Caetano Braga,Conjunto Residencial José Bonifácio,São Paulo,129,3,2,2,R$ 490.000,490000.0,0.49,3798.4496124031007
Rua Francisco de Paula Brito,Planalto Paulista,São Paulo,250,3,4,4,R$ 2.190.000,2190000.0,2.19,8760.0
Rua dos Comerciários,Cidade Vargas,São Paulo,250,3,3,5,R$ 2.180.000,2180000.0,2.18,8720.0
Rua Francisco Correia Dutra,Jardim Maria Luiza,São Paulo,152,2,3,2,R$ 398.000,398000.0,0.398,2618.4210526315787
Rua Joaquim de Almeida,Mirandópolis,São Paulo,192,4,2,2,R$ 950.000,950000.0,0.95,4947.916666666667
Rua Elisa Rodrigues,Planalto Paulista,São Paulo,184,4,3,4,R$ 1.390.000,1390000.0,1.39,7554.347826086957
Rua José Sebastião de Sá,Jardim do Carmo,São Paulo,100,2,2,1,R$ 530.000,530000.0,0.53,5300.0
Rua Amandaba,Jardim Prudência,São Paulo,253,4,4,2,R$ 1.280.000,1280000.0,1.28,5059.288537549407
"Rua Cordisburgo, 251 ",Jardim Leonor,São Paulo,850,4,8,6,R$ 6.500.000,6500000.0,6.5,7647.058823529412
"Rua Carlos Rath, 103 ",Alto de Pinheiros,São Paulo,400,5,4,4,R$ 2.900.000,2900000.0,2.9,7250.0
,Alto de Pinheiros,São Paulo,358,4,4,4,R$ 3.500.000,3500000.0,3.5,9776.536312849163
Rua Luís Ramos Figueira,Vila Suzana,São Paulo,140,3,4,2,R$ 775.000,775000.0,0.775,5535.714285714285
Rua dos Aliados,Alto da Lapa,São Paulo,500,5,7,7,R$ 3.500.000,3500000.0,3.5,7000.0
,Planalto Paulista,São Paulo,119,2,2,2,R$ 670.000,670000.0,0.67,5630.252100840336
,Jardim Guedala,São Paulo,650,4,7,4,R$ 3.500.000,3500000.0,3.5,5384.615384615385
Rua Doutor Nicolau ASão Paulorino Júnior,Vila Brasílio Machado,São Paulo,250,3,3,3,R$ 1.500.000,1500000.0,1.5,6000.0
"Rua José Barbosa, 186 ",Jardim das Vertentes,São Paulo,84,3,3,2,R$ 470.000,470000.0,0.47,5595.238095238095
Rua Iagari,Alto da Lapa,São Paulo,243,3,5,3,R$ 2.400.000,2400000.0,2.4,9876.543209876543
"Rua Júlio Rua Perez, 16 ",Campo Belo,São Paulo,145,4,3,2,R$ 1.350.000,1350000.0,1.35,9310.344827586207
"Rua Marechal Barbacena, 1392 ",Vila Regente Feijó,São Paulo,150,3,2,2,R$ 800.000,800000.0,0.8,5333.333333333333
"Rua Plínio Mota, 59 ",Vila Tolstoi,São Paulo,240,3,3,7,R$ 890.000,890000.0,0.89,3708.3333333333335
"Rua Belarmino Cardoso de Andrade, 151 ",Terceira Divisão de Interlagos,São Paulo,167,3,4,2,R$ 630.000,630000.0,0.63,3772.4550898203593
Rua Camberra,Vila Formosa,São Paulo,256,4,3,1,R$ 1.063.830,1063830.0,1.06383,4155.5859375
,Vila Moinho Velho,São Paulo,220,4,3,2,R$ 750.000,750000.0,0.75,3409.090909090909
Rua Marechal Bitencourt,Jardim Paulista,São Paulo,360,4,5,4,R$ 1.800.000,1800000.0,1.8,5000.0
,Jardim Guedala,São Paulo,354,4,6,4,R$ 2.950.000,2950000.0,2.95,8333.333333333334
Rua Pero Correia,Vila Mariana,São Paulo,250,3,3,1,R$ 1.350.000,1350000.0,1.35,5400.0
Avenida Ouro Verde de Minas,Jardim Imperador (Zona Leste),São Paulo,186,3,3,2,R$ 750.000,750000.0,0.75,4032.2580645161293
Rua Inglaterra,Jardim Europa,São Paulo,756,5,4,10,R$ 37.000.000,37000000.0,37.0,48941.798941798945
"Avenida Ibiúna, 736 ",Vila Aricanduva,São Paulo,500,4,3,4,R$ 1.200.000,1200000.0,1.2,2400.0
,Brooklin Paulista,São Paulo,400,5,6,4,R$ 2.500.000,2500000.0,2.5,6250.0
,Sumaré,São Paulo,627,3,6,6,R$ 4.950.000,4950000.0,4.95,7894.736842105263
Rua Coronel Octávio Azeredo,Vila Mazzei,São Paulo,80,3,1,2,R$ 420.000,420000.0,0.42,5250.0
"Rua Drosera, 120 ",Pirituba,São Paulo,190,3,2,4,R$ 920.000,920000.0,0.92,4842.105263157895
